keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew


'Versorgung',de,Infrastruktur,#e81818,#e81818,1,1
'Ressourcen',de,Infrastruktur,#e81818,#e81818,1,1
'Waffen',de,Krieg,#1818e8,#1818e8,1,1
'Mangel',de,Infrastruktur,#e81818,#e81818,1,1
'Knappheit',de,Infrastruktur,#e81818,#e81818,1,1
'Getreide',de,Versorgung,#e81818,#e81818,1,1
'Lieferschwierigkeiten',de,Infrastruktur,#e81818,#e81818,1,1
'Inflation',de,Wirtschaft,#18e818,#18e818,1,1
'Preissteigerung',de,Wirtschaft,#18e818,#18e818,1,1
'Energiepreise',de,Wirtschaft,#18e818,#18e818,1,1
'Deutschland',de,Politik,#181818, #181818,1,1
'Ukraine',de,Politik,#181818, #181818,1,1
'Russland',de,Politik,#181818, #181818,1,1
'EU',de,Politik,#181818, #181818,1,1
'Boykott',de,Politik,#181818, #181818,1,1
'Heizkosten',de,Wirtschaft,#18e818,#18e818,1,1
'Europäische Union',de,Politik,#181818, #181818,1,1
